# Raw latency data, Haicom 204s, 4800N1, cycle 1s
#	      T1	      E1	      D1	       W	      E2	      T2	      D2	tag
#-	--------	--------	--------	--------	--------	--------	--------	--------
69	0.864900	1.018900	1.019400	1.019400	1.019500	1.019593	1.019731  	# GPRMC
82	0.033900	0.216800	0.217400	0.217400	0.217400	0.217559	0.217680  	# GPGGA
49	0.222000	0.328800	0.329400	0.329400	0.329400	0.329537	0.329626  	# GPGLL
69	0.860800	1.013700	1.014300	1.014300	1.014300	1.014449	1.014584  	# GPRMC
82	0.033700	0.216700	0.217300	0.217300	0.217300	0.217420	0.217540  	# GPGGA
49	0.221700	0.328700	0.329200	0.329200	0.329300	0.329390	0.329479  	# GPGLL
69	0.860700	1.013600	1.014200	1.014200	1.014200	1.014310	1.014447  	# GPRMC
82	0.033600	0.216600	0.217100	0.217100	0.217100	0.217284	0.217406  	# GPGGA
49	0.220600	0.329500	0.330100	0.330100	0.330100	0.330258	0.330350  	# GPGLL
69	0.860500	1.014400	1.015000	1.015000	1.015000	1.015165	1.015304  	# GPRMC
82	0.035500	0.218400	0.219000	0.219000	0.219000	0.219163	0.219283  	# GPGGA
49	0.223400	0.330400	0.331000	0.331000	0.331000	0.331112	0.331201  	# GPGLL
69	0.862300	1.015300	1.015900	1.015900	1.015900	1.016027	1.016163  	# GPRMC
82	0.035300	0.218300	0.218800	0.218800	0.218900	0.219001	0.219119  	# GPGGA
49	0.223300	0.330300	0.330800	0.330900	0.330900	0.331062	0.331152  	# GPGLL
69	0.862200	1.015200	1.015700	1.015700	1.015700	1.015880	1.016016  	# GPRMC
82	0.035200	0.218100	0.218700	0.218700	0.218700	0.218854	0.218973  	# GPGGA
49	0.222300	0.330100	0.330700	0.330700	0.330700	0.330825	0.330917  	# GPGLL
69	0.861000	1.015000	1.015600	1.015600	1.015600	1.015767	1.015905  	# GPRMC
82	0.034000	0.218000	0.218600	0.218600	0.218600	0.218717	0.218838  	# GPGGA
49	0.222000	0.330000	0.330500	0.330500	0.330600	0.330693	0.330784  	# GPGLL
69	0.860900	1.014900	1.015500	1.015500	1.015500	1.015625	1.015763  	# GPRMC
82	0.033900	0.216900	0.217400	0.217400	0.217400	0.217568	0.217695  	# GPGGA
49	0.221900	0.328900	0.329400	0.329400	0.329400	0.329636	0.329722  	# GPGLL
69	0.859800	1.013700	1.014300	1.014300	1.014300	1.014450	1.014585  	# GPRMC
82	0.033800	0.216700	0.217300	0.217300	0.217300	0.217451	0.217571  	# GPGGA
49	0.221900	0.328700	0.329200	0.329200	0.329300	0.329399	0.329515  	# GPGLL
69	0.859600	1.014600	1.015200	1.015200	1.015200	1.015311	1.015449  	# GPRMC
82	0.034600	0.217600	0.218100	0.218100	0.218200	0.218294	0.218414  	# GPGGA
49	0.222600	0.329600	0.330100	0.330100	0.330100	0.330258	0.330349  	# GPGLL
69	0.861500	1.014500	1.015000	1.015000	1.015000	1.015170	1.015306  	# GPRMC
82	0.035500	0.218500	0.219000	0.219000	0.219100	0.219186	0.219307  	# GPGGA
49	0.222400	0.330400	0.331000	0.331000	0.331000	0.331115	0.331204  	# GPGLL
69	0.861300	1.015300	1.015900	1.015900	1.015900	1.016035	1.016169  	# GPRMC
82	0.034300	0.217300	0.217900	0.217900	0.217900	0.218039	0.218160  	# GPGGA
49	0.222300	0.329300	0.329800	0.329800	0.329800	0.329968	0.330059  	# GPGLL
69	0.861200	1.014200	1.014700	1.014700	1.014800	1.014891	1.015027  	# GPRMC
82	0.034200	0.217100	0.217700	0.217700	0.217800	0.217889	0.218009  	# GPGGA
49	0.222200	0.329100	0.329700	0.329700	0.329700	0.329831	0.329920  	# GPGLL
69	0.861100	1.014000	1.014600	1.014600	1.014600	1.014752	1.014890  	# GPRMC
82	0.036000	0.219000	0.219600	0.219600	0.219600	0.219715	0.219835  	# GPGGA
49	0.224000	0.331000	0.331500	0.331500	0.331600	0.331697	0.331785  	# GPGLL
69	0.862900	1.015900	1.016400	1.016500	1.016500	1.016609	1.016744  	# GPRMC
82	0.032900	0.216900	0.217400	0.217400	0.217400	0.217574	0.217692  	# GPGGA
49	0.220900	0.328800	0.329400	0.329400	0.329400	0.329555	0.329646  	# GPGLL
69	0.859800	1.012700	1.013300	1.013300	1.013300	1.013462	1.013598  	# GPRMC
82	0.033700	0.216700	0.217300	0.217300	0.217300	0.217434	0.217552  	# GPGGA
49	0.221700	0.328700	0.329200	0.329300	0.329300	0.329427	0.329518  	# GPGLL
69	0.861600	1.014600	1.015200	1.015200	1.015200	1.015318	1.015453  	# GPRMC
82	0.033600	0.216600	0.217100	0.217100	0.217200	0.217294	0.217413  	# GPGGA
49	0.221700	0.328600	0.329100	0.329100	0.329100	0.329259	0.329350  	# GPGLL
69	0.860500	1.013500	1.014100	1.014100	1.014100	1.014291	1.014427  	# GPRMC
82	0.034500	0.217500	0.218000	0.218100	0.218100	0.218212	0.218332  	# GPGGA
49	0.221400	0.329400	0.330000	0.330000	0.330000	0.330120	0.330212  	# GPGLL
69	0.860300	1.014300	1.014900	1.014900	1.014900	1.015047	1.015183  	# GPRMC
82	0.034300	0.217300	0.217900	0.217900	0.217900	0.218128	0.218247  	# GPGGA
49	0.221300	0.329400	0.329900	0.329900	0.329900	0.330135	0.330224  	# GPGLL
69	0.860200	1.014200	1.014700	1.014700	1.014800	1.014895	1.015031  	# GPRMC
82	0.034200	0.218100	0.218700	0.218700	0.218800	0.218898	0.219016  	# GPGGA
49	0.222200	0.330100	0.330700	0.330700	0.330700	0.330828	0.330915  	# GPGLL
69	0.861100	1.015000	1.015600	1.015600	1.015600	1.015759	1.015893  	# GPRMC
82	0.034000	0.217000	0.217600	0.217600	0.217600	0.217718	0.217836  	# GPGGA
49	0.221000	0.329000	0.329600	0.329600	0.329600	0.329735	0.329825  	# GPGLL
69	0.859900	1.013900	1.014500	1.014500	1.014500	1.014639	1.014773  	# GPRMC
81	0.029900	0.210900	0.211500	0.211500	0.211500	0.211617	0.211737  	# GPGGA
49	0.215900	0.322900	0.323400	0.323400	0.323400	0.323544	0.323631  	# GPGLL
69	0.842800	0.996800	0.997400	0.997400	0.997400	0.997524	0.997661  	# GPRMC
81	0.026900	0.207800	0.208300	0.208300	0.208300	0.208474	0.208593  	# GPGGA
