# Split latency data, Haicom 204s, 4800N1, cycle 1s
#   GPGGA	   GPRMC	   GPGLL	      T1	      D1	       W	      E2	      T2	      D2	  length	tag
# ---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	--------
-       	0.874600	-       	1.019000	1.019600	1.019600	1.019600	1.019769	1.019908	      70	# GPRMC
0.034000	-       	-       	0.215000	0.215600	0.215600	0.215600	0.215717	0.215837	      81	# GPGGA
-       	-       	0.220000	0.327100	0.327600	0.327700	0.327700	0.327946	0.328045	      49	# GPGLL
-       	0.855900	-       	1.011900	1.012400	1.012500	1.012500	1.012609	1.012745	      70	# GPRMC
0.033900	-       	-       	0.214900	0.215500	0.215500	0.215500	0.215645	0.215766	      81	# GPGGA
-       	-       	0.219900	0.326900	0.327400	0.327400	0.327400	0.327583	0.327672	      49	# GPGLL
-       	0.855800	-       	1.011700	1.012300	1.012300	1.012300	1.012467	1.012602	      70	# GPRMC
0.033000	-       	-       	0.213700	0.214300	0.214300	0.214300	0.214432	0.214553	      81	# GPGGA
-       	-       	0.218700	0.326700	0.327300	0.327300	0.327300	0.327515	0.327604	      49	# GPGLL
-       	0.855600	-       	1.010600	1.011200	1.011200	1.011200	1.011331	1.011466	      70	# GPRMC
0.032700	-       	-       	0.213600	0.214100	0.214200	0.214200	0.214310	0.214430	      81	# GPGGA
-       	-       	0.218600	0.330200	0.330700	0.330700	0.330800	0.331253	0.331340	      49	# GPGLL
-       	0.855500	-       	1.011500	1.012000	1.012000	1.012000	1.012184	1.012322	      70	# GPRMC
0.033500	-       	-       	0.214400	0.215000	0.215000	0.215000	0.215154	0.215273	      81	# GPGGA
-       	-       	0.219500	0.327400	0.328000	0.328000	0.328000	0.328143	0.328232	      49	# GPGLL
-       	0.857400	-       	1.011300	1.011900	1.011900	1.011900	1.012046	1.012181	      70	# GPRMC
0.034400	-       	-       	0.215300	0.215800	0.215800	0.215900	0.216003	0.216125	      81	# GPGGA
-       	-       	0.219300	0.327300	0.327800	0.327800	0.327800	0.327973	0.328061	      49	# GPGLL
-       	0.856200	-       	1.012200	1.012700	1.012700	1.012800	1.012892	1.013027	      70	# GPRMC
0.039200	-       	-       	0.219100	0.219700	0.219700	0.219700	0.219858	0.219979	      81	# GPGGA
-       	-       	0.224100	0.332500	0.333100	0.333100	0.333100	0.333255	0.333346	      49	# GPGLL
-       	0.861100	-       	1.016000	1.016600	1.016600	1.016600	1.016745	1.016884	      70	# GPRMC
0.035000	-       	-       	0.216000	0.216500	0.216600	0.216600	0.216712	0.216833	      81	# GPGGA
-       	-       	0.220100	0.328000	0.328500	0.328500	0.328600	0.328688	0.328777	      49	# GPGLL
-       	0.856900	-       	1.012900	1.013500	1.013500	1.013500	1.013670	1.013807	      70	# GPRMC
0.033900	-       	-       	0.214800	0.215400	0.215400	0.215400	0.215564	0.215685	      81	# GPGGA
-       	-       	0.219900	0.327800	0.328400	0.328400	0.328400	0.328541	0.328629	      49	# GPGLL
-       	0.856800	-       	1.011700	1.012300	1.012300	1.012300	1.012475	1.012611	      70	# GPRMC
0.036700	-       	-       	0.216700	0.217300	0.217300	0.217300	0.217548	0.217668	      81	# GPGGA
-       	-       	0.221700	0.329700	0.330300	0.330300	0.330300	0.330431	0.330519	      49	# GPGLL
-       	0.858600	-       	1.013600	1.014100	1.014100	1.014200	1.014309	1.014446	      70	# GPRMC
0.035600	-       	-       	0.216600	0.217100	0.217100	0.217100	0.217281	0.217402	      81	# GPGGA
-       	-       	0.221600	0.328500	0.329100	0.329100	0.329100	0.329255	0.329345	      49	# GPGLL
-       	0.858500	-       	1.014400	1.015000	1.015000	1.015000	1.015162	1.015298	      70	# GPRMC
0.034500	-       	-       	0.215400	0.216000	0.216000	0.216000	0.216134	0.216255	      81	# GPGGA
-       	-       	0.220400	0.327400	0.327900	0.328000	0.328000	0.328107	0.328196	      49	# GPGLL
-       	0.856300	-       	1.012300	1.012900	1.012900	1.012900	1.013018	1.013154	      70	# GPRMC
0.036300	-       	-       	0.217300	0.217800	0.217800	0.217900	0.217986	0.218106	      81	# GPGGA
-       	-       	0.221300	0.329300	0.329800	0.329800	0.329800	0.329961	0.330052	      49	# GPGLL
-       	0.858200	-       	1.014200	1.014700	1.014700	1.014700	1.014873	1.015011	      70	# GPRMC
0.034200	-       	-       	0.215100	0.215700	0.215700	0.215700	0.215849	0.215970	      81	# GPGGA
-       	-       	0.220200	0.327100	0.327700	0.327700	0.327700	0.327837	0.327927	      49	# GPGLL
-       	0.856000	-       	1.012000	1.012600	1.012600	1.012600	1.012744	1.012880	      70	# GPRMC
0.034100	-       	-       	0.215100	0.215700	0.215700	0.215700	0.215889	0.216023	      81	# GPGGA
-       	-       	0.220000	0.327000	0.327600	0.327600	0.327600	0.327723	0.327809	      49	# GPGLL
-       	0.855900	-       	1.011900	1.012400	1.012400	1.012500	1.012593	1.012730	      70	# GPRMC
0.033900	-       	-       	0.215000	0.215500	0.215600	0.215600	0.215754	0.215893	      81	# GPGGA
-       	-       	0.218800	0.326800	0.327400	0.327400	0.327400	0.327544	0.327633	      49	# GPGLL
-       	0.855700	-       	1.010700	1.011300	1.011300	1.011300	1.011447	1.011583	      70	# GPRMC
0.033700	-       	-       	0.213700	0.214200	0.214300	0.214300	0.214412	0.214533	      81	# GPGGA
-       	-       	0.218700	0.326700	0.327200	0.327200	0.327300	0.327398	0.327486	      49	# GPGLL
-       	0.855600	-       	1.010700	1.011200	1.011200	1.011200	1.011434	1.011583	      70	# GPRMC
0.033600	-       	-       	0.215600	0.216100	0.216100	0.216100	0.216275	0.216396	      81	# GPGGA
-       	-       	0.219800	0.327500	0.328100	0.328100	0.328100	0.328245	0.328333	      49	# GPGLL
-       	0.856500	-       	1.012400	1.013000	1.013000	1.013000	1.013286	1.013432	      70	# GPRMC
0.033500	-       	-       	0.214400	0.215000	0.215000	0.215000	0.215120	0.215240	      81	# GPGGA
-       	-       	0.219400	0.326400	0.326900	0.326900	0.327000	0.327106	0.327196	      49	# GPGLL
-       	0.855300	-       	1.011300	1.011900	1.011900	1.011900	1.012014	1.012151	      70	# GPRMC
0.034400	-       	-       	0.215500	0.216000	0.216000	0.216000	0.216169	0.216303	      81	# GPGGA
-       	-       	0.219300	0.327300	0.327800	0.327800	0.327800	0.327978	0.328066	      49	# GPGLL
-       	0.856200	-       	1.012300	1.012900	1.012900	1.012900	1.013186	1.013321	      70	# GPRMC
0.034200	-       	-       	0.215100	0.215700	0.215700	0.215700	0.215840	0.215961	      81	# GPGGA
-       	-       	0.219100	0.327100	0.327700	0.327700	0.327700	0.327808	0.327895	      49	# GPGLL
-       	0.856000	-       	1.012100	1.012700	1.012700	1.012700	1.012908	1.013059	      70	# GPRMC
0.034000	-       	-       	0.215000	0.215500	0.215500	0.215600	0.215699	0.215834	      81	# GPGGA
-       	-       	0.219000	0.327200	0.327700	0.327700	0.327800	0.327900	0.328001	      49	# GPGLL
-       	0.855900	-       	1.010900	1.011400	1.011400	1.011400	1.011579	1.011715	      70	# GPRMC
0.032900	-       	-       	0.213900	0.214400	0.214400	0.214400	0.214583	0.214705	      81	# GPGGA
-       	-       	0.217800	0.325800	0.326400	0.326400	0.326400	0.326527	0.326616	      49	# GPGLL
-       	0.854700	-       	1.010700	1.011300	1.011300	1.011300	1.011438	1.011574	      70	# GPRMC
0.033700	-       	-       	0.214700	0.215200	0.215300	0.215300	0.215411	0.215532	      81	# GPGGA
-       	-       	0.219800	0.326700	0.327200	0.327200	0.327300	0.327384	0.327471	      49	# GPGLL
-       	0.856600	-       	1.012600	1.013100	1.013100	1.013200	1.013299	1.013435	      70	# GPRMC
0.034600	-       	-       	0.215500	0.216100	0.216100	0.216100	0.216285	0.216407	      81	# GPGGA
-       	-       	0.219500	0.327500	0.328100	0.328100	0.328100	0.328243	0.328332	      49	# GPGLL
-       	0.856500	-       	1.012400	1.013000	1.013000	1.013000	1.013149	1.013285	      70	# GPRMC
0.034500	-       	-       	0.215400	0.216000	0.216000	0.216000	0.216119	0.216240	      81	# GPGGA
-       	-       	0.219400	0.327400	0.327900	0.327900	0.328000	0.328098	0.328190	      49	# GPGLL
-       	0.856300	-       	1.012300	1.012800	1.012900	1.012900	1.013011	1.013149	      70	# GPRMC
0.034300	-       	-       	0.215300	0.215800	0.215800	0.215800	0.215972	0.216093	      81	# GPGGA
-       	-       	0.220300	0.328200	0.328800	0.328800	0.328800	0.328947	0.329035	      49	# GPGLL
-       	0.857200	-       	1.012200	1.012800	1.012800	1.012800	1.012931	1.013067	      70	# GPRMC
0.034200	-       	-       	0.215100	0.215700	0.215700	0.215700	0.215830	0.215951	      81	# GPGGA
-       	-       	0.220100	0.327100	0.327600	0.327600	0.327700	0.327801	0.327888	      49	# GPGLL
-       	0.856000	-       	1.012000	1.012600	1.012600	1.012600	1.012714	1.012850	      70	# GPRMC
0.034100	-       	-       	0.214200	0.214800	0.214800	0.214800	0.214975	0.215096	      81	# GPGGA
-       	-       	0.219000	0.326900	0.327500	0.327500	0.327500	0.327666	0.327755	      49	# GPGLL
-       	0.855900	-       	1.010900	1.011400	1.011400	1.011400	1.011584	1.011721	      70	# GPRMC
0.035900	-       	-       	0.216800	0.217400	0.217400	0.217400	0.217567	0.217688	      81	# GPGGA
-       	-       	0.221800	0.329800	0.330400	0.330400	0.330400	0.330515	0.330602	      49	# GPGLL
-       	0.858700	-       	1.013700	1.014300	1.014300	1.014300	1.014424	1.014560	      70	# GPRMC
0.032800	-       	-       	0.214700	0.215200	0.215200	0.215300	0.215398	0.215519	      81	# GPGGA
-       	-       	0.219800	0.327700	0.328200	0.328200	0.328200	0.328381	0.328469	      49	# GPGLL
-       	0.856600	-       	1.011600	1.012100	1.012100	1.012200	1.012288	1.012424	      70	# GPRMC
0.033600	-       	-       	0.214500	0.215100	0.215100	0.215100	0.215252	0.215372	      81	# GPGGA
-       	-       	0.219600	0.327600	0.328100	0.328200	0.328200	0.328305	0.328393	      49	# GPGLL
-       	0.856500	-       	1.009400	1.010000	1.010000	1.010000	1.010142	1.010278	      69	# GPRMC
0.034500	-       	-       	0.215400	0.215900	0.215900	0.216000	0.216106	0.216227	      81	# GPGGA
-       	-       	0.219500	0.327400	0.327900	0.327900	0.328000	0.328090	0.328186	      49	# GPGLL
-       	0.856600	-       	1.009300	1.009900	1.009900	1.009900	1.010061	1.010197	      69	# GPRMC
