# Split latency data, BU-303b, 4800N1, cycle 1s
#   GPGGA	   GPRMC	   GPGLL	      T1	      D1	       W	      E2	      T2	      D2	  length	tag
# ---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	--------
-       	0.372400	-       	0.528400	0.528500	0.528500	0.528500	0.528847	0.529094	      70	# GPRMC
0.080300	-       	-       	0.260300	0.260400	0.260400	0.260400	0.260755	0.260995	      81	# GPGGA
-       	0.376300	-       	0.532200	0.532400	0.532400	0.532400	0.532710	0.533043	      70	# GPRMC
0.076300	-       	-       	0.256200	0.256300	0.256300	0.256400	0.256695	0.256970	      81	# GPGGA
-       	0.373100	-       	0.529100	0.529200	0.529200	0.529300	0.529555	0.529893	      70	# GPRMC
0.076000	-       	-       	0.256000	0.256100	0.256100	0.256200	0.256469	0.256766	      81	# GPGGA
-       	0.764900	-       	0.920900	0.921000	0.921000	0.921100	0.921356	0.921690	      70	# GPRMC
0.084000	-       	-       	0.263800	0.263900	0.263900	0.264000	0.264292	0.264590	      81	# GPGGA
-       	0.380800	-       	0.536800	0.536900	0.536900	0.537000	0.537250	0.537585	      70	# GPRMC
0.075700	-       	-       	0.255700	0.255800	0.255800	0.255900	0.256177	0.256450	      81	# GPGGA
-       	0.372600	-       	0.528600	0.528800	0.528800	0.528800	0.529096	0.529430	      70	# GPRMC
0.079600	-       	-       	0.259500	0.259600	0.259600	0.259700	0.260012	0.260289	      81	# GPGGA
-       	0.376500	-       	0.531500	0.531700	0.531700	0.531700	0.532028	0.532340	      70	# GPRMC
0.076400	-       	-       	0.256300	0.256500	0.256500	0.256600	0.256878	0.257153	      81	# GPGGA
-       	0.373300	-       	0.529300	0.529500	0.529500	0.529500	0.529817	0.530128	      70	# GPRMC
0.085300	-       	-       	0.265200	0.265300	0.265300	0.265400	0.265717	0.265995	      81	# GPGGA
-       	0.773100	-       	0.929100	0.929200	0.929300	0.929300	0.929591	0.929899	      70	# GPRMC
0.082100	-       	-       	0.263000	0.263200	0.263200	0.263200	0.263565	0.263838	      81	# GPGGA
-       	0.380000	-       	0.536000	0.536100	0.536200	0.536200	0.536513	0.536826	      70	# GPRMC
0.076000	-       	-       	0.255900	0.256000	0.256000	0.256100	0.256409	0.256687	      81	# GPGGA
-       	0.372900	-       	0.527800	0.528000	0.528000	0.528000	0.528357	0.528669	      70	# GPRMC
0.078800	-       	-       	0.258700	0.258900	0.258900	0.258900	0.259267	0.259541	      81	# GPGGA
-       	0.375700	-       	0.529700	0.529800	0.529800	0.529900	0.530199	0.530511	      69	# GPRMC
0.074600	-       	-       	0.254600	0.254700	0.254700	0.254800	0.255097	0.255372	      81	# GPGGA
-       	0.371600	-       	0.526500	0.526700	0.526700	0.526700	0.527056	0.527367	      70	# GPRMC
0.076500	-       	-       	0.256400	0.256600	0.256600	0.256600	0.256966	0.257242	      81	# GPGGA
-       	0.764400	-       	0.920300	0.920500	0.920500	0.920500	0.920825	0.921132	      70	# GPRMC
0.092300	-       	-       	0.273300	0.273400	0.273400	0.273500	0.273788	0.274060	      81	# GPGGA
-       	0.390300	-       	0.545500	0.545700	0.545700	0.545700	0.546197	0.546528	      70	# GPRMC
0.078200	-       	-       	0.258100	0.258300	0.258300	0.258300	0.258656	0.258930	      81	# GPGGA
-       	0.375100	-       	0.531100	0.531200	0.531200	0.531300	0.531596	0.531908	      70	# GPRMC
0.078000	-       	-       	0.258000	0.258100	0.258100	0.258200	0.258493	0.258768	      81	# GPGGA
-       	0.375000	-       	0.530900	0.531100	0.531100	0.531100	0.531442	0.531755	      70	# GPRMC
0.075900	-       	-       	0.255800	0.256000	0.256000	0.256000	0.256347	0.256622	      81	# GPGGA
-       	0.372800	-       	0.528800	0.528900	0.528900	0.529000	0.529284	0.529593	      70	# GPRMC
0.075700	-       	-       	0.255700	0.255800	0.255800	0.255900	0.256185	0.256461	      81	# GPGGA
-       	0.764600	-       	0.919600	0.919700	0.919700	0.919800	0.920060	0.920366	      70	# GPRMC
0.082600	-       	-       	0.263500	0.263700	0.263700	0.263700	0.264040	0.264314	      81	# GPGGA
-       	0.380500	-       	0.536500	0.536600	0.536600	0.536700	0.536982	0.537296	      70	# GPRMC
0.076400	-       	-       	0.256400	0.256500	0.256500	0.256600	0.256880	0.257158	      81	# GPGGA
-       	0.373400	-       	0.524300	0.524500	0.524500	0.524500	0.524825	0.525139	      68	# GPRMC
0.079300	-       	-       	0.259200	0.259400	0.259400	0.259400	0.259737	0.260012	      81	# GPGGA
-       	0.376200	-       	0.532200	0.532400	0.532400	0.532500	0.532752	0.533065	      70	# GPRMC
0.076100	-       	-       	0.256100	0.256200	0.256200	0.256300	0.256580	0.256857	      81	# GPGGA
-       	0.373100	-       	0.529000	0.529200	0.529200	0.529200	0.529524	0.529837	      70	# GPRMC
0.080000	-       	-       	0.259900	0.260100	0.260100	0.260100	0.260434	0.260709	      81	# GPGGA
-       	0.768800	-       	0.924800	0.925000	0.925000	0.925000	0.925306	0.925613	      70	# GPRMC
0.078800	-       	-       	0.259800	0.259900	0.259900	0.259900	0.260265	0.260537	      81	# GPGGA
-       	0.376800	-       	0.532700	0.532900	0.532900	0.532900	0.533222	0.533535	      70	# GPRMC
0.076700	-       	-       	0.256600	0.256800	0.256800	0.256800	0.257138	0.257413	      81	# GPGGA
-       	0.373600	-       	0.529600	0.529700	0.529700	0.529800	0.530070	0.530383	      70	# GPRMC
0.079500	-       	-       	0.259400	0.259600	0.259600	0.259700	0.259972	0.260247	      81	# GPGGA
-       	0.376400	-       	0.532400	0.532500	0.532600	0.532600	0.532909	0.533220	      70	# GPRMC
0.075400	-       	-       	0.255300	0.255400	0.255500	0.255500	0.255819	0.256094	      81	# GPGGA
-       	0.372300	-       	0.528300	0.528400	0.528400	0.528500	0.528777	0.529092	      70	# GPRMC
0.076200	-       	-       	0.256100	0.256300	0.256300	0.256400	0.256672	0.256948	      81	# GPGGA
-       	0.764100	-       	0.920000	0.920200	0.920200	0.920300	0.920531	0.920837	      70	# GPRMC
0.079100	-       	-       	0.260000	0.260200	0.260200	0.260200	0.260518	0.260792	      81	# GPGGA
-       	0.377000	-       	0.532900	0.533100	0.533100	0.533200	0.533459	0.533773	      70	# GPRMC
0.075900	-       	-       	0.255800	0.256000	0.256000	0.256000	0.256357	0.256634	      81	# GPGGA
-       	0.372800	-       	0.528900	0.529100	0.529100	0.529100	0.529480	0.529813	      70	# GPRMC
0.080700	-       	-       	0.260700	0.260900	0.260900	0.260900	0.261210	0.261484	      81	# GPGGA
-       	0.377700	-       	0.533600	0.533800	0.533800	0.533900	0.534160	0.534470	      70	# GPRMC
0.076600	-       	-       	0.256500	0.256700	0.256700	0.256700	0.257056	0.257332	      81	# GPGGA
-       	0.373500	-       	0.529500	0.529600	0.529600	0.529700	0.529982	0.530294	      70	# GPRMC
0.076400	-       	-       	0.256400	0.256600	0.256600	0.256600	0.256907	0.257182	      81	# GPGGA
-       	0.765300	-       	0.921300	0.921400	0.921500	0.921500	0.921768	0.922075	      70	# GPRMC
0.079300	-       	-       	0.260200	0.260400	0.260400	0.260400	0.260738	0.261012	      81	# GPGGA
-       	0.377200	-       	0.533200	0.533300	0.533300	0.533400	0.533684	0.533997	      70	# GPRMC
0.080100	-       	-       	0.260100	0.260200	0.260200	0.260300	0.260597	0.260872	      81	# GPGGA
-       	0.377100	-       	0.533000	0.533200	0.533200	0.533200	0.533522	0.533835	      70	# GPRMC
0.081000	-       	-       	0.260900	0.261100	0.261100	0.261100	0.261442	0.261717	      81	# GPGGA
-       	0.377900	-       	0.532900	0.533000	0.533000	0.533100	0.533380	0.533693	      70	# GPRMC
0.076800	-       	-       	0.256800	0.256900	0.256900	0.257000	0.257298	0.257574	      81	# GPGGA
-       	0.373800	-       	0.528700	0.528900	0.528900	0.528900	0.529223	0.529533	      70	# GPRMC
0.075700	-       	-       	0.255600	0.255800	0.255800	0.255800	0.256136	0.256411	      81	# GPGGA
-       	0.763600	-       	0.919500	0.919700	0.919700	0.919700	0.920004	0.920309	      70	# GPRMC
0.078500	-       	-       	0.259500	0.259600	0.259600	0.259700	0.259974	0.260246	      81	# GPGGA
-       	0.376500	-       	0.532400	0.532600	0.532600	0.532600	0.532917	0.533227	      70	# GPRMC
0.076400	-       	-       	0.256300	0.256500	0.256500	0.256500	0.256839	0.257114	      81	# GPGGA
-       	0.373300	-       	0.528300	0.528400	0.528400	0.528500	0.528764	0.529076	      70	# GPRMC
0.075200	-       	-       	0.255200	0.255300	0.255300	0.255400	0.255672	0.255947	      81	# GPGGA
-       	0.372200	-       	0.528100	0.528200	0.528300	0.528300	0.528589	0.528901	      70	# GPRMC
0.075100	-       	-       	0.255000	0.255100	0.255100	0.255200	0.255494	0.255770	      81	# GPGGA
-       	0.372000	-       	0.528000	0.528100	0.528100	0.528200	0.528448	0.528760	      70	# GPRMC
0.075900	-       	-       	0.256900	0.257000	0.257000	0.257100	0.257357	0.257631	      81	# GPGGA
-       	0.765000	-       	0.920700	0.920900	0.920900	0.921000	0.921223	0.921532	      70	# GPRMC
0.087800	-       	-       	0.268700	0.268800	0.268900	0.268900	0.269194	0.269466	      81	# GPGGA
-       	0.385700	-       	0.540700	0.540800	0.540800	0.540900	0.541143	0.541454	      70	# GPRMC
0.078600	-       	-       	0.259500	0.259700	0.259700	0.259700	0.260050	0.260324	      81	# GPGGA
-       	0.375500	-       	0.531500	0.531700	0.531700	0.531700	0.531996	0.532308	      70	# GPRMC
0.076500	-       	-       	0.256400	0.256500	0.256500	0.256600	0.256888	0.257165	      81	# GPGGA
-       	0.373400	-       	0.528400	0.528500	0.528500	0.528500	0.528840	0.529151	      70	# GPRMC
0.076400	-       	-       	0.256200	0.256400	0.256400	0.256400	0.256746	0.257022	      81	# GPGGA
-       	0.373200	-       	0.529200	0.529300	0.529300	0.529400	0.529681	0.529992	      70	# GPRMC
0.076100	-       	-       	0.256100	0.256200	0.256200	0.256300	0.256580	0.256855	      81	# GPGGA
-       	0.765000	-       	0.920000	0.920100	0.920100	0.920200	0.920457	0.920762	      70	# GPRMC
0.076000	-       	-       	0.256900	0.257100	0.257100	0.257100	0.257438	0.257709	      81	# GPGGA
-       	0.372900	-       	0.528900	0.529000	0.529000	0.529100	0.529387	0.529699	      70	# GPRMC
0.075800	-       	-       	0.255800	0.255900	0.255900	0.256000	0.256276	0.256552	      81	# GPGGA
