#- Tag -  ----- Fix time -----  - Chars -  - Latency -  -- RS232 --  --Analysis-  --- Recv --
    MID2  1316809844.210000038        334  0.078161001  0.173958333  0.267078876  0.272048950
    MID2  1316809845.210000038        331  0.078178883  0.172395833  0.259165049  0.260313034
    MID2  1316809846.210000038        382  0.036905050  0.198958333  0.268332958  0.269080877
    MID2  1316809847.210000038        332  0.076905966  0.172916667  0.257470846  0.258215904
    MID2  1316809848.210000038        332  0.076912880  0.172916667  0.257266045  0.258271933
    MID2  1316809849.210000038        332  0.076912880  0.172916667  0.258297920  0.259088039
    MID2  1316809850.210000038        333  0.076915979  0.173437500  0.258297920  0.259057999
    MID2  1316809851.210000038        328  0.078314066  0.170833333  0.258446932  0.259252071
    MID2  1316809852.210000038        329  0.078348875  0.171354167  0.258517027  0.259526014
    MID2  1316809853.210000038        331  0.076912880  0.172395833  0.258496046  0.259255886
    MID2  1316809854.210000038        327  0.078382969  0.170312500  0.258512020  0.259271860
    MID2  1316809855.210000038        335  0.076906919  0.174479167  0.258293867  0.259113073
    MID2  1316809856.210000038        330  0.076914072  0.171875000  0.257016897  0.257669926
    MID2  1316809857.210000038        335  0.076905012  0.174479167  0.267041922  0.267884016
    MID2  1316809858.210000038        394  0.028480053  0.205208333  0.268602848  0.269353867
    MID2  1316809859.210000038        323  0.078253031  0.168229167  0.258666039  0.259677887
    MID2  1316809860.210000038        327  0.078527927  0.170312500  0.258687019  0.259634972
    MID2  1316809861.210000038        328  0.078553915  0.170833333  0.258466005  0.259322882
    MID2  1316809862.210000038        328  0.076922894  0.170833333  0.257082939  0.258250952
    MID2  1316809863.210000038        314  0.086951017  0.163541667  0.257242918  0.258336067
    MID2  1316809864.210000038        329  0.076911926  0.171354167  0.258735895  0.259644032
    MID2  1316809865.210000038        327  0.078639984  0.170312500  0.258810997  0.259809971
    MID2  1316809866.210000038        324  0.086945057  0.168750000  0.277086020  0.278136969
    MID2  1316809867.210000038        327  0.068794012  0.170312500  0.258837938  0.259876013
    MID2  1316809868.210000038        325  0.078707933  0.169270833  0.258872986  0.259994984
    MID2  1316809869.210000038        327  0.078250885  0.170312500  0.258527994  0.259598017
    MID2  1316809870.210000038        330  0.076907873  0.171875000  0.258878946  0.259602070
    MID2  1316809871.210000038        329  0.076912880  0.171354167  0.257941961  0.258913994
    MID2  1316809872.210000038        328  0.076905966  0.170833333  0.257925987  0.258638859
    MID2  1316809873.210000038        326  0.076905012  0.169791667  0.258954048  0.259858847
    MID2  1316809874.210000038        332  0.076905966  0.172916667  0.258980036  0.259701967
    MID2  1316809875.210000038        327  0.068861961  0.170312500  0.259733915  0.260526896
    MID2  1316809876.210000038        391  0.028892040  0.203645833  0.269540071  0.270493984
    MID2  1316809877.210000038        327  0.068918943  0.170312500  0.259079933  0.260105848
    MID2  1316809878.210000038        311  0.086921930  0.161979167  0.257140875  0.258148909
    MID2  1316809879.210000038        327  0.066992998  0.170312500  0.259119034  0.260132074
    MID2  1316809880.210000038        327  0.066994905  0.170312500  0.259140968  0.260091066
    MID2  1316809881.210000038        327  0.076912880  0.170312500  0.258744955  0.259765863
    MID2  1316809882.210000038        327  0.076911926  0.170312500  0.259192944  0.260177851
    MID2  1316809883.210000038        312  0.079050064  0.162500000  0.258745909  0.259762049
    MID2  1316809884.210000038        329  0.067071915  0.171354167  0.257117033  0.258067846
    MID2  1316809885.210000038        326  0.076915026  0.169791667  0.259253979  0.260235071
    MID2  1316809886.210000038        315  0.079120874  0.164062500  0.259279013  0.260218859
    MID2  1316809887.210000038        326  0.076910973  0.169791667  0.259295940  0.260264874
    MID2  1316809888.210000038        328  0.076919079  0.170833333  0.257163048  0.257992983
    MID2  1316809889.210000038        315  0.078219891  0.164062500  0.258347034  0.259341002
    MID2  1316809890.210000038        311  0.078212023  0.161979167  0.258722067  0.259672880
    MID2  1316809891.210000038        311  0.078227043  0.161979167  0.258352995  0.259115934
    MID2  1316809892.210000038        325  0.076912880  0.169270833  0.258411884  0.259306908
    MID2  1316809893.210000038        324  0.078279018  0.168750000  0.258432865  0.259393930
    MID2  1316809894.210000038        325  0.076911926  0.169270833  0.267360926  0.269270897
    MID2  1316809895.210000038        325  0.076911926  0.169270833  0.258481979  0.259526968
    MID2  1316809896.210000038        326  0.076916933  0.169791667  0.258504868  0.259427071
    MID2  1316809897.210000038        325  0.076914072  0.169270833  0.258528948  0.259536028
    MID2  1316809898.210000038        324  0.076911926  0.168750000  0.258950949  0.259882927
    MID2  1316809899.210000038        352  0.028450966  0.183333333  0.257068872  0.257869005
    MID2  1316809900.210000038        324  0.076910973  0.168750000  0.258592844  0.259480953
    MID2  1316809901.210000038        312  0.076915026  0.162500000  0.248290062  0.248966932
    MID2  1316809902.210000038        325  0.076907873  0.169270833  0.258596897  0.259216070
    MID2  1316809903.210000038        313  0.076906919  0.163020833  0.248291969  0.248971939
    MID2  1316809904.210000038        315  0.076910973  0.164062500  0.248766899  0.249953032
    MID2  1316809905.210000038        313  0.076905966  0.163020833  0.248287916  0.248939991
    MID2  1316809906.210000038        388  0.028537989  0.202083333  0.258694887  0.259335995
    MID2  1316809907.210000038        323  0.076906919  0.168229167  0.258717060  0.259482861
    MID2  1316809908.210000038        324  0.076905966  0.168750000  0.258748055  0.259499073
    MID2  1316809909.210000038        324  0.076910973  0.168750000  0.258801937  0.259773016
    MID2  1316809910.210000038        323  0.076914072  0.168229167  0.258817911  0.259713888
    MID2  1316809911.210000038        312  0.076932907  0.162500000  0.247102976  0.247969866
    MID2  1316809912.210000038        311  0.076912880  0.161979167  0.248359919  0.249124050
    MID2  1316809913.210000038        311  0.076914072  0.161979167  0.248323917  0.249124050
    MID2  1316809914.210000038        322  0.076914072  0.167708333  0.258877993  0.259638071
    MID2  1316809915.210000038        323  0.076906919  0.168229167  0.258902073  0.259773970
    MID2  1316809916.210000038        323  0.076906919  0.168229167  0.258959055  0.260052919
    MID2  1316809917.210000038        353  0.030505896  0.183854167  0.258985043  0.259974957
    MID2  1316809918.210000038        321  0.076914072  0.167187500  0.259007931  0.259953022
    MID2  1316809919.210000038        321  0.076910973  0.167187500  0.255054951  0.256033897
    MID2  1316809920.210000038        338  0.066912889  0.176041667  0.259616852  0.260365009
    MID2  1316809921.210000038        310  0.076911926  0.161458333  0.248287916  0.248949051
    MID2  1316809922.210000038        322  0.076905966  0.167708333  0.259057045  0.259692907
    MID2  1316809923.210000038        353  0.016975880  0.183854167  0.259088039  0.259842873
    MID2  1316809924.210000038        340  0.066909075  0.177083333  0.257030010  0.257751942
    MID2  1316809925.210000038        322  0.076907873  0.167708333  0.259135962  0.260143042
    MID2  1316809926.210000038        313  0.086914062  0.163020833  0.259162903  0.259896040
    MID2  1316809927.210000038        322  0.076915026  0.167708333  0.249300957  0.250267029
    MID2  1316809928.210000038        323  0.076915026  0.168229167  0.259124041  0.260024071
    MID2  1316809929.210000038        326  0.076911926  0.169791667  0.267134905  0.268316031
    MID2  1316809930.210000038        322  0.076914072  0.167708333  0.249670982  0.250582933
    MID2  1316809931.210000038        339  0.066963911  0.176562500  0.248290062  0.249014854
    MID2  1316809932.210000038        321  0.076906919  0.167187500  0.258291960  0.259007931
    MID2  1316809933.210000038        343  0.066912889  0.178645833  0.258316040  0.259073019
    MID2  1316809934.210000038        339  0.066907883  0.176562500  0.258334875  0.259042978
    MID2  1316809935.210000038        323  0.076909065  0.168229167  0.258357048  0.259104013
    MID2  1316809936.210000038        386  0.028254986  0.201041667  0.258384943  0.259114981
    MID2  1316809937.210000038        320  0.076914072  0.166666667  0.249122858  0.250115871
    MID2  1316809938.210000038        320  0.076911926  0.166666667  0.257071018  0.258005857
    MID2  1316809939.210000038        337  0.066911936  0.175520833  0.248291016  0.249100924
    MID2  1316809940.210000038        320  0.076909065  0.166666667  0.248802900  0.249520063
    MID2  1316809941.210000038        349  0.028323889  0.181770833  0.258450985  0.259261847
    MID2  1316809942.210000038        339  0.066910982  0.176562500  0.248631954  0.249739885
    MID2  1316809943.210000038        320  0.076911926  0.166666667  0.249032021  0.249920845
