# Analyzed latency, 2011-09-30T05:53:13, SiRF binary, 9600 8N1, cycle 1s
#- Tag -  ----- Fix time -----  - Chars -  - Latency -  -- RS232 --  --Analysis-  --- Recv --
    MID2  1317362018.970000029        343  0.120789051  0.478080718  0.501016855  0.501831055
    MID2  1317362019.970000029        339  0.100787878  0.453912878  0.481019974  0.481862068
    MID2  1317362020.970000029        335  0.130788088  0.479746421  0.511008024  0.511754990
    MID2  1317362021.970000029        343  0.120785952  0.478077618  0.511543989  0.512351036
    MID2  1317362022.970000029        335  0.130786896  0.479745229  0.511568069  0.512320995
    MID2  1317362023.970000029        337  0.100787878  0.451829545  0.481081009  0.481924057
    MID2  1317362024.970000029        340  0.122050047  0.476216714  0.502279043  0.503143072
    MID2  1317362025.970000029        336  0.130828857  0.480828857  0.511041880  0.511842966
    MID2  1317362026.970000029        343  0.120785952  0.478077618  0.511024952  0.511844873
    MID2  1317362027.970000029        397  0.120781898  0.534323565  0.571017027  0.571892023
    MID2  1317362028.970000029        343  0.120804071  0.478095738  0.502250910  0.502964020
    MID2  1317362029.970000029        340  0.120786905  0.474953572  0.501013041  0.501826048
    MID2  1317362030.960000038        341  0.110787868  0.465996202  0.491030931  0.492050886
    MID2  1317362031.960000038        338  0.142051935  0.494135269  0.521010876  0.521810055
    MID2  1317362032.960000038        341  0.130786896  0.485995229  0.511008978  0.511765957
    MID2  1317362033.960000038        342  0.132035017  0.488285017  0.511012077  0.511920929
    MID2  1317362034.960000038        343  0.130789995  0.488081662  0.511004925  0.511715889
    MID2  1317362035.960000038        340  0.130789042  0.484955708  0.511013985  0.511827946
    MID2  1317362036.960000038        339  0.132039070  0.485164070  0.511008978  0.511870861
    MID2  1317362037.960000038        340  0.132041931  0.486208598  0.511075974  0.511970043
    MID2  1317362038.970000029        341  0.120785952  0.475994285  0.501008034  0.501749992
    MID2  1317362039.970000029        342  0.122052908  0.478302908  0.501013041  0.501932859
    MID2  1317362040.960000038        335  0.141808987  0.490767320  0.521012068  0.521872997
    MID2  1317362041.970000029        335  0.100830078  0.449788411  0.482017994  0.482805014
    MID2  1317362042.970000029        342  0.120786905  0.477036905  0.501048088  0.501857996
    MID2  1317362043.970000029        343  0.120800018  0.478091685  0.511004925  0.511775970
    MID2  1317362044.960000038        341  0.120858908  0.476067241  0.511007071  0.511749983
    MID2  1317362045.960000038        338  0.130905867  0.482989200  0.521012068  0.521829844
    MID2  1317362046.960000038        343  0.130787849  0.488079516  0.521005869  0.521726847
    MID2  1317362047.970000029        341  0.120827913  0.476036247  0.501014948  0.501883984
    MID2  1317362048.970000029        340  0.121152878  0.475319544  0.502281904  0.503182888
    MID2  1317362049.970000029        343  0.120786905  0.478078572  0.511002064  0.511765003
    MID2  1317362050.970000029        343  0.120790005  0.478081671  0.511014938  0.511759043
    MID2  1317362051.970000029        341  0.120789051  0.475997384  0.501026869  0.501878023
    MID2  1317362052.960000038        343  0.130783081  0.488074748  0.511333942  0.512076855
    MID2  1317362053.970000029        340  0.120784998  0.474951665  0.501019001  0.501827002
    MID2  1317362054.970000029        336  0.100787878  0.450787878  0.481247902  0.481981993
    MID2  1317362055.960000038        341  0.130786896  0.485995229  0.511106014  0.512075901
    MID2  1317362056.970000029        340  0.120816946  0.474983613  0.501019001  0.501765966
    MID2  1317362057.970000029        340  0.120786905  0.474953572  0.501012087  0.501905918
    MID2  1317362058.960000038        342  0.130787849  0.487037849  0.510988951  0.511698961
    MID2  1317362059.960000038        341  0.130785942  0.485994275  0.511012077  0.511818886
    MID2  1317362060.960000038        343  0.130800009  0.488091675  0.521012068  0.521770954
    MID2  1317362061.960000038        340  0.130786896  0.484953562  0.511008978  0.511803865
    MID2  1317362062.960000038        340  0.130786896  0.484953562  0.511009932  0.511864901
    MID2  1317362063.960000038        340  0.130785942  0.484952609  0.511040926  0.511946917
    MID2  1317362064.960000038        341  0.130786896  0.485995229  0.511012077  0.511879921
    MID2  1317362065.960000038        335  0.110790014  0.459748348  0.492259979  0.493052006
    MID2  1317362066.960000038        339  0.132035971  0.485160971  0.511030912  0.511790991
    MID2  1317362067.960000038        336  0.112038851  0.462038851  0.491008997  0.491806984
    MID2  1317362068.960000038        340  0.130786896  0.484953562  0.511014938  0.511909008
    MID2  1317362069.960000038        334  0.140788078  0.488704745  0.521021843  0.521975994
    MID2  1317362070.960000038        340  0.130789042  0.484955708  0.511013985  0.511739969
    MID2  1317362071.960000038        333  0.110789061  0.457664061  0.491009951  0.491823912
    MID2  1317362072.960000038        339  0.130789042  0.483914042  0.511008024  0.511721849
    MID2  1317362073.960000038        340  0.130791903  0.484958569  0.511005878  0.511775017
    MID2  1317362074.960000038        339  0.130785942  0.483910942  0.511007071  0.511744976
