# Analyzed latency, 2011-09-24T20:57:31, Generic NMEA, 9600 8N1, cycle 1s
#- Tag -  ----- Fix time -----  - Chars -  - Latency -  -- RS232 --  --Analysis-  --- Recv --
     RMC  1316897851.924999952        185  0.041912079  0.192708333  0.252104998  0.323405027
     RMC  1316897852.924999952        185  0.041919947  0.192708333  0.252122164  0.254208088
     RMC  1316897853.924000025        185  0.042912006  0.192708333  0.253100872  0.254040003
     RMC  1316897854.924000025        356  0.042913914  0.370833333  0.443109035  0.444084883
     RMC  1316897855.924000025        185  0.042912006  0.192708333  0.253109932  0.254047871
     RMC  1316897856.924000025        188  0.042917013  0.195833333  0.253105879  0.254076958
     RMC  1316897857.924000025        185  0.042913914  0.192708333  0.253162861  0.254109859
     RMC  1316897858.924000025        185  0.042927980  0.192708333  0.253122091  0.254106998
     RMC  1316897859.924000025        356  0.042912006  0.370833333  0.443312883  0.444289923
     RMC  1316897860.924000025        184  0.044230938  0.191666667  0.253104925  0.254122019
     RMC  1316897861.924000025        187  0.042912006  0.194791667  0.253108025  0.254709959
     RMC  1316897862.924000025        185  0.042912006  0.192708333  0.253099918  0.254127026
     RMC  1316897863.924000025        184  0.042911053  0.191666667  0.253118038  0.254069090
     RMC  1316897864.924000025        356  0.042912960  0.370833333  0.443103075  0.444082022
     RMC  1316897865.924000025        199  0.044167042  0.207291667  0.263103008  0.264061928
     RMC  1316897866.924000025        191  0.052975893  0.198958333  0.263062954  0.264314890
     RMC  1316897867.924000025        190  0.052917004  0.197916667  0.263109922  0.264051914
     RMC  1316897868.924000025        190  0.052910089  0.197916667  0.263114929  0.264131069
     RMC  1316897869.923000097        362  0.053911924  0.377083333  0.464136839  0.465076923
     RMC  1316897870.923000097        193  0.053911924  0.201041667  0.264145851  0.265129805
     RMC  1316897871.923000097        188  0.053965807  0.195833333  0.264083862  0.264829874
     RMC  1316897872.923000097        190  0.053910017  0.197916667  0.264063835  0.264848948
     RMC  1316897873.923000097        190  0.053941965  0.197916667  0.266104937  0.267050982
     RMC  1316897874.923000097        361  0.053918839  0.376041667  0.464155912  0.465156794
